UNIDAD ORGANICA;GENERICO;ORDEN;ESPECIFICA;IMPORTE;FACTOR
SUB GERENCIA DE REGISTRO CIVIL;ES003. CONSULTA MEDICO A DOMICILIO,GINECOLOGO OBTETRIZ,ESTIMULACION TEMPRANA,TRIAJE,TOPICO,DESC.DE DIAGNOSTICO NUTRICIONAL, ANAL.DE LAB.;1;NO LABORAL FUERA DE 08:00 A 18:00 HORAS;224.30;0.040786
SUB GERENCIA DE REGISTRO CIVIL;ES003. CONSULTA MEDICO A DOMICILIO,GINECOLOGO OBTETRIZ,ESTIMULACION TEMPRANA,TRIAJE,TOPICO,DESC.DE DIAGNOSTICO NUTRICIONAL, ANAL.DE LAB.;1;NO LABORAL FUERA DE 19:00 A 22:00 HORAS;269.10;0.048929
SUB GERENCIA DE REGISTRO CIVIL;ES003. CONSULTA MEDICO A DOMICILIO,GINECOLOGO OBTETRIZ,ESTIMULACION TEMPRANA,TRIAJE,TOPICO,DESC.DE DIAGNOSTICO NUTRICIONAL, ANAL.DE LAB.;1;LABORAL FUERA MDNCH 16:00-18:00 HS. (ALCALDE);254.30;0.046238
SUB GERENCIA DE REGISTRO CIVIL;ES003. CONSULTA MEDICO A DOMICILIO,GINECOLOGO OBTETRIZ,ESTIMULACION TEMPRANA,TRIAJE,TOPICO,DESC.DE DIAGNOSTICO NUTRICIONAL, ANAL.DE LAB.;1;LABORAL FUERA MDNCH 19:00-22:00 HS. (ALCALDE);340.30;0.061881
SUB GERENCIA DE REGISTRO CIVIL;ES003. CONSULTA MEDICO A DOMICILIO,GINECOLOGO OBTETRIZ,ESTIMULACION TEMPRANA,TRIAJE,TOPICO,DESC.DE DIAGNOSTICO NUTRICIONAL, ANAL.DE LAB.;1;NO LABORAL FUERA MDNCH 09:00-18:00 (ALCALDE);330.50;0.060095
SUB GERENCIA DE REGISTRO CIVIL;ES003. CONSULTA MEDICO A DOMICILIO,GINECOLOGO OBTETRIZ,ESTIMULACION TEMPRANA,TRIAJE,TOPICO,DESC.DE DIAGNOSTICO NUTRICIONAL, ANAL.DE LAB.;1;NO LABORAL FUERA MDNCH 19:00-22:00 (ALCALDE);388.80;0.07069
GERENCIA DE ADMINISTRACION TRIBUTARIA;003. SOLICITUD DEDUCCION 50 UIT DEL IMP. PREDIAL Y EXONERACION 30% ARB. MUNICIOALES, APLIACION DEDUCCION DEL IMP. PREDIAL PARA PENSIONISTA;1;DERECHO DE CIERRE;22.40;0.004071
GERENCIA DE ADMINISTRACION TRIBUTARIA;003. SOLICITUD DEDUCCION 50 UIT DEL IMP. PREDIAL Y EXONERACION 30% ARB. MUNICIOALES, APLIACION DEDUCCION DEL IMP. PREDIAL PARA PENSIONISTA;8;DERECHO DE TRAMITE AMPLIACION DE 50 UIT DEL IMP. PREDIAL;5.20;0.000952
GERENCIA DE ADMINISTRACION TRIBUTARIA;002. INSCRIPCION DE PREDIO, ALTA Y BAJA POR TRANSFERENCIA, DUPLICADO, ETC.;6;ALTA Y BAJA DE PREDIO;10.30;0.001869
GERENCIA DE ADMINISTRACION TRIBUTARIA;009. PAGO DEL IMPUESTO ALCABALA;14;IMPUESTO ALCABALA;0.00;0
GERENCIA DE ADMINISTRACION TRIBUTARIA;SOLICITUD DE MODIFICACION O RECTIFICACION DE LA BASE IMPONIBLE DEL IMPUESTO PREDIAL (INSPECCION OCULAR);1;COMERCIO;44.20;0.008037
GERENCIA DE ADMINISTRACION TRIBUTARIA;OTROS INGRESOS;1;COBRO DE SISA;0.00;0
GERENCIA DE ADMINISTRACION TRIBUTARIA;009. PAGO DEL IMPUESTO ALCABALA;1;INTERESES DE IMPUESTO DE ALCABALA;0.00;0
GERENCIA DE ADMINISTRACION TRIBUTARIA;009. PAGO DEL IMPUESTO ALCABALA;1;COSTAS;0.00;0
GERENCIA DE ADMINISTRACION TRIBUTARIA;OTROS INGRESOS;1;COSTAS;0.00;0
GERENCIA DE ADMINISTRACION TRIBUTARIA;OTROS INGRESOS;1;GASTOS ADMINISTRATIVO;0.00;0
GERENCIA DE ADMINISTRACION TRIBUTARIA;008. CONSTANCIA DE INAFECTACION DE ALCABALA;1;DERECHO DE TRAMITE X CONST EXPED TRAMITE;5.20;0.000952
GERENCIA DE ADMINISTRACION TRIBUTARIA;009. PAGO DEL IMPUESTO ALCABALA;14;FORMULARIO FORMATO DE ALCABALA;15.30;0.002786
GERENCIA DE EJECUCION COACTIVA;015. MULTAS DEUDAS - COACTIVO;1;MULTA DEUDA TRIBUTARIA - COACTIVO;0.00;0
GERENCIA DE ADMINISTRACION TRIBUTARIA;OTROS INGRESOS;1;DERECHO DE TRAMITE ;5.20;0.000954
SECRETARIA GENERAL;1.1.1 ACCESO A LA INFORMACIÓN QUE POSEA O PRODUZCA LA MUNICIPALIDAD;1;Copia simple A4 (unidad);0.10;0.000024
SECRETARIA GENERAL;1.1.1 ACCESO A LA INFORMACIÓN QUE POSEA O PRODUZCA LA MUNICIPALIDAD;2;Copia simple A3 (unidad) ;0.50;0.000095
SECRETARIA GENERAL;1.1.1 ACCESO A LA INFORMACIÓN QUE POSEA O PRODUZCA LA MUNICIPALIDAD;3;Por grabar en CD (incluye CD);1.00;0.000187
SECRETARIA GENERAL;1.1.2 SOLICITUD DE COPIA CERTIFICADA DE DOCUMENTOS EXISTENTES EN EXPEDIENTES Y/O EN EL ARCHIVO MUNICIPAL;1;Por la  primera Hoja;7.70;0.0014
SECRETARIA GENERAL;1.1.2 SOLICITUD DE COPIA CERTIFICADA DE DOCUMENTOS EXISTENTES EN EXPEDIENTES Y/O EN EL ARCHIVO MUNICIPAL;2;Por Hoja adicional ;0.70;0.000119
SUB GERENCIA DE REGISTRO CIVIL;1.3.1 MATRIMONIO ORDINARIO  ;1;Derecho de tramite - Para Matrimonios:  Extranjero (a) con Peruana (o);274.50;0.0499
SUB GERENCIA DE REGISTRO CIVIL;1.3.1 MATRIMONIO ORDINARIO  ;2;Derecho de tramite - Por Poder;244.20;0.0444
SUB GERENCIA DE REGISTRO CIVIL;1.3.1 MATRIMONIO ORDINARIO  ;3;Derecho de tramite  - Por Artículo mortis;34.10;0.0062
SUB GERENCIA DE REGISTRO CIVIL;1.3.1 MATRIMONIO ORDINARIO  ;4;Celebración de Matrimonio dentro del Local de la Municipalidad: Lunes  a  Viernes: 08:00 am - 14:00 pm;100.70;0.0183
SUB GERENCIA DE REGISTRO CIVIL;1.3.1 MATRIMONIO ORDINARIO  ;5;Celebración de Matrimonio fuera del Local de la Municipalidad: Lunes  a  Viernes: 10:00 am - 17:00 pm;203.50;0.037
SUB GERENCIA DE REGISTRO CIVIL;1.3.1 MATRIMONIO ORDINARIO  ;6;Celebración de Matrimonio fuera del Local de la Municipalidad: Lunes  a  Viernes: 18:00 pm - 22:00 pm;244.20;0.0444
SUB GERENCIA DE REGISTRO CIVIL;1.3.1 MATRIMONIO ORDINARIO  ;7;Celebración de Matrimonio fuera del Local de la Municipalidad: Sabados y feriados: 10:00 am - 17:00 pm;285.50;0.0519
SUB GERENCIA DE REGISTRO CIVIL;1.3.1 MATRIMONIO ORDINARIO  ;8;Celebración de Matrimonio fuera del Local de la Municipalidad: Sabados y feriados: 18:00 pm - 22:00 pm;326.20;0.0593
SUB GERENCIA DE REGISTRO CIVIL;1.3.1 MATRIMONIO ORDINARIO  ;9;Derecho de Tramite - Matrimonio Masivo;27.00;0.0049
SUB GERENCIA DE REGISTRO CIVIL;1.3.2 MODIFICACION (ADELANTO O POSTERGACION)  DE LA FECHA DE LA CEREMONIA DE MATRIMONIO ;1;Derecho de Tramite;47.30;0.0086
SUB GERENCIA DE REGISTRO CIVIL;1.3.3 TRANSCRIPCION  DE MATRIMONIO CIVIL REALIZADO EN EL EXTRANJERO (DENTRO DE 90 DIAS INGRESADO AL PAIS);1;Derecho de Tramite (Ordinario);407.60;0.0741
SUB GERENCIA DE REGISTRO CIVIL;1.3.3 TRANSCRIPCION  DE MATRIMONIO CIVIL REALIZADO EN EL EXTRANJERO (DENTRO DE 90 DIAS INGRESADO AL PAIS);2;Derecho de Tramite (Mandato Judicial);61.10;0.0111
SUB GERENCIA DE REGISTRO CIVIL;1.3.4 EXPEDICIÓN Y CERTIFICACIÓN DE PARTIDA DE NACIMIENTO, MATRIMONIO O DEFUNCIÓN;1;Derecho de Tramite (Peruano);17.60;0.0032
SUB GERENCIA DE REGISTRO CIVIL;1.3.4 EXPEDICIÓN Y CERTIFICACIÓN DE PARTIDA DE NACIMIENTO, MATRIMONIO O DEFUNCIÓN;2;Derecho de Tramite (Gestión Internacional);40.70;0.0074
SUB GERENCIA DE REGISTRO CIVIL;1.3.5 INSCRIPCIÓN DE DEFUNCIONES;1;Derecho de Tramite;67.70;0.0123
SUB GERENCIA DE REGISTRO CIVIL;1.3.10 ANOTACION  DEL DIVORCIO EN EL ACTA DE MATRIMONIO, (JUDICIAL, NOTARIAL Y/O ADMINISTRATIVO);1;Derecho de Tramite;77.60;0.0141
SUB GERENCIA DE REGISTRO CIVIL;1.3.11 ANOTACIÓN DE RECTIFICACIONES DE ACTA  (NACIMIENTO, MATRIMONIO Y DEFUNCIÓN) POR SEGUNDO DE AFINIDAD Y CUARTO GRADO DE CONSANGUINIDAD.;1;Derecho de Tramite - Por error no atribuible al registrador;47.30;0.0086
SUB GERENCIA DE REGISTRO CIVIL;1.3.11 ANOTACIÓN DE RECTIFICACIONES DE ACTA  (NACIMIENTO, MATRIMONIO Y DEFUNCIÓN) POR SEGUNDO DE AFINIDAD Y CUARTO GRADO DE CONSANGUINIDAD.;2;Derecho de Tramite - Por mandato judicial;67.70;0.0123
SUB GERENCIA DE REGISTRO CIVIL;1.3.11 ANOTACIÓN DE RECTIFICACIONES DE ACTA  (NACIMIENTO, MATRIMONIO Y DEFUNCIÓN) POR SEGUNDO DE AFINIDAD Y CUARTO GRADO DE CONSANGUINIDAD.;3;Derecho de Tramite - Por mandato notarial;47.30;0.0086
SUB GERENCIA DE REGISTRO CIVIL;1.3.12 CERTIFICACION  O CONSTANCIA DE ESTADO CIVIL (SOLTERIA, PRE MATRIMONIAL Y VIUDEZ).;1;Derecho de Tramite;34.10;0.0062
SUB GERENCIA DE REGISTRO CIVIL;1.3.13 CERTIFICADO NEGATIVO DE NACIMIENTO;1;Derecho de Tramite;34.10;0.0062
SUB GERENCIA DE REGISTRO CIVIL;1.3.16 ANOTACIÓN DE FILIACIÓN DE HIJO EXTRA MATRIMONIAL (RECONOCIMIENTO).;1;Derecho de Tramite;47.30;0.0086
SUB GERENCIA DE REGISTRO CIVIL;1.3.16 ANOTACIÓN DE FILIACIÓN DE HIJO EXTRA MATRIMONIAL (RECONOCIMIENTO).;1;Derecho de Tramite - Por mandato Judicial;47.30;0.0086
SUB GERENCIA DE REGISTRO CIVIL;1.3.16 ANOTACIÓN DE FILIACIÓN DE HIJO EXTRA MATRIMONIAL (RECONOCIMIENTO).;2;Derecho de Tramite - Por mandato notarial;47.30;0.0086
SUB GERENCIA DE REGISTRO CIVIL;1.3.16 ANOTACIÓN DE FILIACIÓN DE HIJO EXTRA MATRIMONIAL (RECONOCIMIENTO).;3;Derecho de Tramite - Con resolucion administrativa;23.10;0.0042
SUB GERENCIA DE REGISTRO CIVIL;1.3.18 DISPENSA DE PUBLICACIÓN DE EDICTO MATRIMONIAL;1;Derecho de Tramite;214.50;0.039
SUB GERENCIA DE REGISTRO CIVIL;1.3.18 DISPENSA DE PUBLICACIÓN DE EDICTO MATRIMONIAL;1;Derecho de Tramite;214.50;0.039
SUB GERENCIA DE SEPARACION CONVENCIONAL Y DIVORCIO RAPIDO;1.4.1 SEPARACIÓN CONVENCIONAL;1;Derecho de Tramite;170.00;0.0309
SUB GERENCIA DE OBRAS PRIVADAS;4.1.9.1.2 EDIFICACIONES PARA FINES DIFERENTES DE VIVIENDA, A EXCEPCIONES DE LAS PREVISTAS EN LA MODALIDAD D;1;Derecho de Tramite;221.10;0.0402
SUB GERENCIA DE OBRAS PRIVADAS;4.1.9.1.2 EDIFICACIONES PARA FINES DIFERENTES DE VIVIENDA, A EXCEPCIONES DE LAS PREVISTAS EN LA MODALIDAD D;2;Verificacion Tecnica;231.00;0.042
SUB GERENCIA DE OBRAS PRIVADAS;4.1.9.2.2 EDIFICACIONES PARA FINES DIFERENTES DE VIVIENDA, A EXCEPCIONES DE LAS PREVISTAS EN LA MODALIDAD D;1;Derecho de Tramite;312.40;0.0568
SUB GERENCIA DE OBRAS PRIVADAS;4.1.9.2.2 EDIFICACIONES PARA FINES DIFERENTES DE VIVIENDA, A EXCEPCIONES DE LAS PREVISTAS EN LA MODALIDAD D;2;Verificacion Tecnica;231.00;0.042
SUB GERENCIA DE OBRAS PRIVADAS;4.1.9.2.5 EDIFICACIONES PARA LOCALES COMERCIALES, CULTURALES, CENTROS DE DIVERSIÓN Y SALAS DE ESPECTÁCULOS QUE, INDIVIDUALMENTE O EN CONJUNTO CUENTEN CON UN MÁXIMO DE 30,000M2 DE ÁREA TECHADA.;1;Derecho de Tramite;407.60;0.0741
SUB GERENCIA DE OBRAS PRIVADAS;4.1.9.2.5 EDIFICACIONES PARA LOCALES COMERCIALES, CULTURALES, CENTROS DE DIVERSIÓN Y SALAS DE ESPECTÁCULOS QUE, INDIVIDUALMENTE O EN CONJUNTO CUENTEN CON UN MÁXIMO DE 30,000M2 DE ÁREA TECHADA.;2;Verificacion Tecnica;484.00;0.088
SUB GERENCIA DE OBRAS PRIVADAS;4.1.9.2.9 TODAS LAS DEMÁS EDIFICACIONES QUE NO SE ENCUENTREN CONTEMPLADAS EN LAS MODALIDADES  A, B Y D.;1;Derecho de Tramite;342.10;0.0622
SUB GERENCIA DE OBRAS PRIVADAS;4.1.9.2.9 TODAS LAS DEMÁS EDIFICACIONES QUE NO SE ENCUENTREN CONTEMPLADAS EN LAS MODALIDADES  A, B Y D.;2;Verificacion Tecnica;484.00;0.088
SUB GERENCIA DE OBRAS PRIVADAS;4.1.10.1.5 EDIFICACIONES PARA FINES EDUCATIVOS, SALUD, HOSPEDAJE, ESTABLECIMIENTOS DE EXPENDIO DE COMBUSTIBLES Y TERMINALES DE TRANSPORTE.;1;Derecho de Tramite ;448.30;0.0815
SUB GERENCIA DE OBRAS PRIVADAS;4.1.10.1.5 EDIFICACIONES PARA FINES EDUCATIVOS, SALUD, HOSPEDAJE, ESTABLECIMIENTOS DE EXPENDIO DE COMBUSTIBLES Y TERMINALES DE TRANSPORTE.;2;Verificacion Tecnica;484.00;0.088
SUB GERENCIA DE OBRAS PRIVADAS;4.1.11.1.1 MODIFICACIÓN PARCIAL DE PROYECTOS EN LA MODALIDAD A Y B, EN CUALQUIERA   DE SUS ESPECIALIDADES Y PREVIO AL OTORGAMIENTO DE LA LICENCIA,  SIEMPRE QUE NO HAYA VARIACIÓN DE USO NI DE MODALIDAD;2;Verificacion Administrativa;88.00;0.016
SUB GERENCIA DE OBRAS PRIVADAS;4.1.11.1.3 MODIFICACIÓN DE PROYECTO CON LICENCIA EN MODALIDAD - A ,  MODIFICACIÓN PARCIAL EN UNA O MÁS ESPECIALIDADES AL  PROYECTO CON LICENCIA Y DENTRO DEL PLAZO DE SU VIGENCIA.;2;Verificacion Administrativa;86.90;0.0158
SUB GERENCIA DE OBRAS PRIVADAS;4.1.13.1 REGULARIZACION DE EDIFICACIONES CONSTRUIDAS SIN LICENCIA ;1;Verificacion Administrativa;237.50;0.043182
SUB GERENCIA DE OBRAS PRIVADAS;4.1.14.1 CONFORMIDAD DE OBRA Y DECLARATORIA DE EDIFICACIÓN MODALIDAD A.;1;Derecho de Tramite;36.80;0.006698
SUB GERENCIA DE OBRAS PRIVADAS;4.1.14.3 CONFORMIDAD DE OBRA Y DECLARATORIA DE EDIFICACIÓN MODALIDAD B;1;Derecho de Tramite;165.60;0.0301
SUB GERENCIA DE OBRAS PRIVADAS;4.1.14.4 CONFORMIDAD DE OBRA Y DECLARATORIA DE EDIFICACIÓN MODALIDAD C Y D;1;Derecho de Tramite;226.60;0.041198
SUB GERENCIA DE OBRAS PRIVADAS;4.1.15.1 PARA EDIFICACIÓN CON LICENCIA MODALIDAD A ;1;Derecho de Tramite;47.30;0.008598
SUB GERENCIA DE OBRAS PRIVADAS;4.1.15.3 PARA EDIFICACIÓN CON LICENCIA MODALIDAD B;1;Derecho de Tramite;218.90;0.0398
SUB GERENCIA DE OBRAS PRIVADAS;4.1.15.4 PARA EDIFICACIÓN CON LICENCIA  MODALIDAD  C Y D ;1;Derecho de Tramite;287.70;0.0523
SUB GERENCIA DE OBRAS PRIVADAS;4.1.16.1 ANTEPROYECTO EN CONSULTA PARA TODAS LAS  MODALIDADES A, B,C Y D;1;Derecho de Tramite;300.30;0.0546
SUB GERENCIA DE OBRAS PRIVADAS;4.1.17.1 REVALIDACIÓN DE LICENCIA DE EDIFICACIÓN O DE HABILITACIÓN URBANA ;1;Derecho de Tramite;116.60;0.0212
SUB GERENCIA DE OBRAS PRIVADAS;4.1.17.2 PRÓRROGA PARA LA LICENCIA DE EDIFICACIÓN DE HABILITACIÓN URBANA;1;Derecho de Tramite;108.90;0.0198
SUB GERENCIA DE OBRAS PRIVADAS;4.1.18.1 CERTIFICADO DE NUMERACIÓN MUNICIPAL;1;Derecho de Tramite;143.90;0.026168
SUB GERENCIA DE OBRAS PRIVADAS;4.1.18.3 CERTIFICADO  DE SECCIONES VIALES;1;Derecho de Tramite;97.90;0.0178
SUB GERENCIA DE OBRAS PRIVADAS;4.1.18.4 CERTIFICADO DE CATASTRO O NEGATIVO DE CATASTRO;1;Derecho de Tramite;34.10;0.0062
SUB GERENCIA DE OBRAS PRIVADAS;4.1.18.5 CONSTANCIAS DE POSESIÓN PARA LOS FINES DEL OTORGAMIENTO DE LA FACTIBILIDAD DE SERVICIOS BÁSICOS. ;1;Derecho de Tramite;27.00;0.0049
SUB GERENCIA DE OBRAS PRIVADAS;4.1.18.7 CERTIFICADO DE PARÁMETROS URBANÍSTICOS Y EDIFICATORIOS.;1;Vivienda;103.40;0.0188
SUB GERENCIA DE OBRAS PRIVADAS;4.1.18.10 CERTIFICADO DE TERRENO UBICADO DENTRO O FUERA DEL AREA DE EXPANSIÓN URBANA.;1;Derecho de Tramite;47.30;0.0086
SUB GERENCIA DE OBRAS PRIVADAS;4.1.18.11 CERTIFICADO Y/O RENOVACION  DE CONFORMIDAD DE USO Y COMPATIBILIDAD DE USO.;1;Derecho de Tramite;149.60;0.0272
SUB GERENCIA DE OBRAS PRIVADAS;4.1.18.12 ACUMULACION DE LOTE Y/O PREDIO URBANO  ;1;Derecho de Tramite;108.90;0.0198
SUB GERENCIA DE OBRAS PRIVADAS;4.1.18.13 VISACIÓN DE PLANOS Y MEMORIA DESCRIPTIVA  (PRESCRIPCION ADQUISITIVA, RECTIFI CACIÓN DE LINDEROS Y TÍTULO SUPLETORIO);1;Derecho de Tramite;31.40;0.0057
SUB GERENCIA DE OBRAS PRIVADAS;4.1.18.14 DEMARCACION DE LOTE.;1;Derecho de Tramite;31.40;0.0057
SUB GERENCIA DE OBRAS PRIVADAS;4.1.18.15 SUB DIVISION DE LOTE URBANO;1;Derecho de Tramite;210.70;0.0383
SUB GERENCIA DE OBRAS PRIVADAS;4.1.18.16 AUTORIZACIÓN PARA LA INSTALACION Y/O UBICACIÓN DE ELEMENTOS DE PUBLICIDAD EXTERIOR, ANUNCIOS TIPO PANELES MONUMENTALES:;1;Panel Monumental Simples;1,705.90;0.310155
SUB GERENCIA DE OBRAS PRIVADAS;4.1.18.16 AUTORIZACIÓN PARA LA INSTALACION Y/O UBICACIÓN DE ELEMENTOS DE PUBLICIDAD EXTERIOR, ANUNCIOS TIPO PANELES MONUMENTALES:;2;Panel Monumental Unipolares;1,935.50;0.3519
SUB GERENCIA DE OBRAS PÚBLICAS;4.2.1 AUTORIZACIÓN EN ÁREA DE USO PÚBLICO PARA INSTALACIÓN DOMICILIARIA DE AGUA, DESAGÜE Y ENERGÍA ELÉCTRICA.;1;Derecho de Tramite;47.30;0.0086
